name,measure,details
PostScript, Abandon Type (selective rescue), Abandon instances: 'Dvips' 'Zathura (document viewer)' 'Evince' 'Okular' 'Fly SDK' 'Pstoedit' 'Ghostscript' 'Document Structuring Conventions' 'Harlequin RIP' 'Pkfix' 'Xprint' 'Display PostScript' 'NeWS';Abandon subtypes:;Remove instances: 'PostScript Printer Description';
PostgreSQL, Abandon Type (rescue none),
Python (programming language), Abandon Type (selective rescue), Abandon instances: 'Python Conference' 'Python for S60' 'PyDev' 'Pip (package manager)' 'Query Abstraction Layer' 'RUR-PLE' 'Guido van Robot' 'Python Software Foundation License' 'Tulip (python project)' 'Guido van Rossum' 'Learning Python' 'PythonAnywhere' 'Pyflag' 'Core Python Programming' 'The Python Papers Anthology' 'Mod python' 'Pydoc' 'ActivePython' 'Peewee ORM' 'Spyce' 'Python Package Index' 'Code skulptor' 'Portal:Python programming' 'Dive Into Python' 'Zen of Python' 'Global interpreter lock' 'Python syntax and semantics' 'Python Server Pages' 'Python Software Foundation' 'Numba' 'History of Python' 'Python License' 'Web Server Gateway Interface' 'Pylint' 'Python Package Manager';Abandon subtypes:'Python software''Python libraries''Python implementations''Python web application frameworks';Remove instances:;
R (programming language), Abandon Type (selective rescue), Abandon instances: 'Knitr' 'Sweave' 'H2O (software)' 'Journal of Statistical Software' 'Bio7' 'Distributed R' 'Revolution Analytics' 'RExcel';Abandon subtypes:'Free R (programming language) software';Remove instances:;
RSS, Abandon Type (selective rescue), Abandon instances: 'RSS enclosure' 'RSS Cloud' 'FeedSync' 'PubSubHubbub' 'RSS tracking' 'OpenAutonomy' 'RSS-DEV Working Group' 'Windows RSS Platform' 'RSS TV' 'Simple Update Protocol' 'Sitrion' 'RSS editor' 'Superfeedr' 'Template:RSS' 'Tencent' 'Broadcatching' 'FeedWind' 'Javascript Simple Syndication' 'RSS Advisory Board' 'Media RSS' 'SendMeRSS';Abandon subtypes:;Remove instances:;
Resource Description Framework, Abandon Type (selective rescue), Abandon instances: 'RDFLib' 'Redland RDF Application Framework' 'StrixDB' 'Data Catalog Vocabulary' 'Jena (framework)' 'Linked Data Platform' 'JRDF (framework)' 'Stardog' 'SparkleDB' 'Sesame (framework)' 'Metaclass (Semantic Web)';Abandon subtypes:'RDF data access''Triplestores';Remove instances:;
Responsive web design, already removed,
Ruby (programming language), Abandon Type (selective rescue), Abandon instances: 'Haml' 'Yukihiro Matsumoto' 'EventMachine' 'RubyCocoa' 'Why the lucky stiff' 'Hackety Hack' 'RubyKaigi' 'RubySpec' 'Phusion Passenger' 'Pledgie' 'Template:Ruby programming language' 'Spree Commerce' 'XRuby' 'Watir' 'RubyJS' 'MacRuby' 'RubyGems' 'Ruby Central' 'RubyMine' 'Squib (weblog)' 'Mongrel (web server)' 'Rake (software)' 'Rinda (Ruby programming language)' 'Capistrano (software)' 'JRuby' 'Uconv' 'Programming Ruby' 'YARV' 'Ruby Version Manager' 'Interactive Ruby Shell' 'Ruby Application Archive' 'Network Applied Communication Laboratory' 'Rubinius' 'Ruby MRI' 'IronRuby' 'Why's (poignant) Guide to Ruby' 'WEBrick' 'Rails Day' 'RubyMotion' 'RubyForge' 'Mod ruby' 'Markaby' 'Mruby' 'HotRuby' 'QtRuby' 'Distributed Ruby' 'Pry (software)';Abandon subtypes:'Free software programmed in Ruby';Remove instances: 'Sass (stylesheet language)' 'ERuby';
Rust (programming language),Abandon Type (selective rescue), Abandon instances:;Abandon subtypes:;Remove instances: 'Servo (layout engine)';
S60 (software platform), Abandon Type (rescue none),
